id	miner	hash	time	difficulty	chainwork
550205	BTC.TOP	000000000000000000ffb7c52574dd24b00b437e7e0f04c47f838c1c5407e0c3	2018-10-01 00:00:49	547076154991.95	000000000000000000000000000000000000000000c63ac4fbc4d801c1321aa5
550206	Unknown	0000000000000000001ee37de4a6121a890116b85944da2086eb6ed4ba0074b1	2018-10-01 00:04:12	549642589275.88	000000000000000000000000000000000000000000c63b44f585261df0d1c759
550207	BTC.TOP	000000000000000000d45280be5645291677ea9fd3e2f97f78991c530caa1997	2018-10-01 00:08:27	548500376998.55	000000000000000000000000000000000000000000c63bc4ab30696fc232e9cf
550208	BTC.TOP	000000000000000000c44372e37e076cf44f40b353c3ea18dc92383c76a412d4	2018-10-01 00:14:22	550604384007.55	000000000000000000000000000000000000000000c63c44de44c38ba950ffcb
550209	Unknown	0000000000000000014ab68def7676ef5480f812382c566552028568528e7559	2018-10-01 00:20:49	560585154011.27	000000000000000000000000000000000000000000c63cc76441e764115bede3
550210	ViaBTC	000000000000000000706c46b8b7cd689c67ae762e8736531d4821793ea9a79d	2018-10-01 00:20:51	559788181619.94	000000000000000000000000000000000000000000c63d49babe065420aa35d6
550211	BMG Pool	0000000000000000012b68ff0e734dd48ac4c4e2866bcf4d2c00cd9bbf1f7484	2018-10-01 01:11:07	562436049848.18	000000000000000000000000000000000000000000c63dccaf0e065c4fef35d6
550212	AntPool	000000000000000000ba376bd36f5d0ed4a905839d4dfe8a208ee024568f0d09	2018-10-01 01:20:44	566530867656.01	000000000000000000000000000000000000000000c63e509770f0873c7815e5
550213	BMG Pool	000000000000000000728054e63d6b76a5c6d7b97c7760c513dbf5b4776ff57c	2018-10-01 01:25:07	547779011625.86	000000000000000000000000000000000000000000c63ed0221cdf5d06cc7547
550214	CoinGeek	000000000000000001c5a10d44d6e474345b671c696619403591a665340a7f19	2018-10-01 01:27:10	546197011357.3	000000000000000000000000000000000000000000c63f4f4e7d075a7b09087a
