id	miner	hash	time	difficulty	chainwork
854873	Unknown	00000000000000000001c1ce1b91185366c2c6146812baa7b2fae823a80f3e7f	2024-08-01 00:04:50	90666502495566	00000000000000000000000000000000000000008681b0fe2ff40453569add7c
854874	Foundry USA Pool	00000000000000000001a17a2d0b49142c564ce3cd63c92aa6532ba0683a5f59	2024-08-01 00:10:57	90666502495566	0000000000000000000000000000000000000000868203747316e4c3ffad1662
854875	F2Pool	000000000000000000031a6b7c1bb991b420e5f2145e341f9cb4cdb6dd4a9212	2024-08-01 00:15:55	90666502495566	0000000000000000000000000000000000000000868255eab639c534a8bf4f48
854876	Foundry USA Pool	00000000000000000001e7a60cff3123eb5dcd4edf1986fb71a0336520ccd183	2024-08-01 00:17:55	90666502495566	00000000000000000000000000000000000000008682a860f95ca5a551d1882e
854877	ViaBTC	00000000000000000001fc99aab588d52c8000f0dbef14405afb8abb5412c676	2024-08-01 00:23:10	90666502495566	00000000000000000000000000000000000000008682fad73c7f8615fae3c114
854878	AntPool	00000000000000000000141bff0fa229082ca719713e7f6c30db9daeda162063	2024-08-01 00:36:29	90666502495566	000000000000000000000000000000000000000086834d4d7fa26686a3f5f9fa
854879	SBICrypto	00000000000000000002f32b52abf5c72659b1fc875ca732392f05264360f389	2024-08-01 00:39:38	90666502495566	000000000000000000000000000000000000000086839fc3c2c546f74d0832e0
854880	Foundry USA Pool	00000000000000000002bd5b7f69394d509305321f865344e9d58aef29c9760d	2024-08-01 00:44:05	90666502495566	00000000000000000000000000000000000000008683f23a05e82767f61a6bc6
854881	AntPool	000000000000000000009dff9aba604236904d55bf264c1206debadc99eab433	2024-08-01 00:57:40	90666502495566	0000000000000000000000000000000000000000868444b0490b07d89f2ca4ac
854882	AntPool	00000000000000000000a047cdf9d12f9227685687896eda7a0f925a23a22a1e	2024-08-01 01:08:33	90666502495566	0000000000000000000000000000000000000000868497268c2de849483edd92
854883	Foundry USA Pool	000000000000000000030cb50bdda4d7c96a2dbb45deb4da8331669e799c0438	2024-08-01 01:12:01	90666502495566	00000000000000000000000000000000000000008684e99ccf50c8b9f1511678
854884	Foundry USA Pool	000000000000000000027e8aaf4e39f601e3eca9eecd75da58103874fce6a532	2024-08-01 01:42:03	90666502495566	000000000000000000000000000000000000000086853c131273a92a9a634f5e
854885	AntPool	00000000000000000002138c449acd00c26d77a6927453d51f2118b2a26bdab0	2024-08-01 02:00:00	90666502495566	000000000000000000000000000000000000000086858e895596899b43758844
854886	Unknown	00000000000000000000ad00c8b47757d2671856392567b4ec5f80848e96dc40	2024-08-01 02:05:05	90666502495566	00000000000000000000000000000000000000008685e0ff98b96a0bec87c12a
854887	Foundry USA Pool	0000000000000000000217e7992c592c028938adb2eba65a41eda5f508f6ba6e	2024-08-01 02:11:53	90666502495566	000000000000000000000000000000000000000086863375dbdc4a7c9599fa10
854888	Foundry USA Pool	00000000000000000002de4e86a4aa49c291ee124294f975c8a06211d703d2b0	2024-08-01 02:18:02	90666502495566	0000000000000000000000000000000000000000868685ec1eff2aed3eac32f6
854889	AntPool	0000000000000000000015ecfd07a9cb7859b1ae5eea0be871d0b8ac12b1a27b	2024-08-01 02:25:02	90666502495566	00000000000000000000000000000000000000008686d86262220b5de7be6bdc
854890	Unknown	000000000000000000017740b83ee92503baf196c64af970cfb445bf48680139	2024-08-01 03:01:08	90666502495566	000000000000000000000000000000000000000086872ad8a544ebce90d0a4c2
854891	AntPool	000000000000000000019246044654b175bd787ffa2252751f76ccd223603ce4	2024-08-01 03:05:36	90666502495566	000000000000000000000000000000000000000086877d4ee867cc3f39e2dda8
854892	Foundry USA Pool	00000000000000000002a11569919d544712fa785718036a09197f577ea83ce1	2024-08-01 03:09:25	90666502495566	00000000000000000000000000000000000000008687cfc52b8aacafe2f5168e
854893	AntPool	00000000000000000000641634c4da7db63eabe013b082461aaa6c19fea4a127	2024-08-01 03:16:42	90666502495566	00000000000000000000000000000000000000008688223b6ead8d208c074f74
854894	F2Pool	00000000000000000002e3f8d32568723b0abeb866e2838cacc751b97febf5f7	2024-08-01 03:24:24	90666502495566	0000000000000000000000000000000000000000868874b1b1d06d913519885a
854895	Foundry USA Pool	00000000000000000002b038be73a6644d18e933ea58276a18775dde26bd3669	2024-08-01 03:24:36	90666502495566	00000000000000000000000000000000000000008688c727f4f34e01de2bc140
854896	ViaBTC	0000000000000000000319c44bb6523dd520372268de7ab89224b3bc8ef9fef6	2024-08-01 03:58:31	90666502495566	00000000000000000000000000000000000000008689199e38162e72873dfa26
854897	AntPool	00000000000000000000dee8df036831e746bb6ddd3e16f8736ea49c75a84882	2024-08-01 04:01:37	90666502495566	000000000000000000000000000000000000000086896c147b390ee33050330c
854898	AntPool	0000000000000000000193df735f5b49479a69272b9046cdc8c5611c95d2d044	2024-08-01 04:03:59	90666502495566	00000000000000000000000000000000000000008689be8abe5bef53d9626bf2
854899	AntPool	000000000000000000030fdc742713c03f5ed22d7ccf0809b86d419247cf2082	2024-08-01 04:14:21	90666502495566	0000000000000000000000000000000000000000868a1101017ecfc48274a4d8
854900	F2Pool	000000000000000000017f4b5dcb3dfe1ac165ab842fddf0027c18038e96586d	2024-08-01 04:49:19	90666502495566	0000000000000000000000000000000000000000868a637744a1b0352b86ddbe
854901	SBICrypto	000000000000000000019de9fc2e6625f11e6c057f16202de3c9ef139b32522f	2024-08-01 04:57:13	90666502495566	0000000000000000000000000000000000000000868ab5ed87c490a5d49916a4
854902	AntPool	000000000000000000011b91a4176c63cf73ccb23be1068d6199eb301956fc29	2024-08-01 05:21:01	90666502495566	0000000000000000000000000000000000000000868b0863cae771167dab4f8a
854903	Foundry USA Pool	00000000000000000001e7b04729b4d88d07136db7742710585ae62bd88c4e62	2024-08-01 05:25:43	90666502495566	0000000000000000000000000000000000000000868b5ada0e0a518726bd8870
854904	SpiderPool	000000000000000000001420d3178408c7c215d2503e66b8d177afc2a9549944	2024-08-01 05:28:50	90666502495566	0000000000000000000000000000000000000000868bad50512d31f7cfcfc156
854905	Foundry USA Pool	0000000000000000000000ef23ad627cc9515c9ad59d497a8051133570935e36	2024-08-01 05:30:13	90666502495566	0000000000000000000000000000000000000000868bffc69450126878e1fa3c
854906	F2Pool	00000000000000000001291acf90b14c1da3b25c81776dd3f2904738d4c2a207	2024-08-01 05:38:12	90666502495566	0000000000000000000000000000000000000000868c523cd772f2d921f43322
854907	ViaBTC	00000000000000000001df0f215272f5c9a9930fcbfafa75268667ef1c4e34f1	2024-08-01 05:41:01	90666502495566	0000000000000000000000000000000000000000868ca4b31a95d349cb066c08
